initialize start
initialize done
[GIN] 2017/10/17 - 17:12:37 | 302 |     150.789µs |      127.1.0.52 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     253.598µs |    127.1.13.230 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     111.009µs |     127.1.13.51 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     261.042µs |     127.1.9.221 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     128.396µs |     127.1.8.208 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     255.188µs |     127.1.13.51 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     268.386µs |      127.1.0.52 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     237.049µs |    127.1.12.199 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     254.462µs |      127.1.1.89 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     197.502µs |      127.1.7.89 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     100.488µs |     127.1.1.218 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     145.835µs |     127.1.2.240 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     342.445µs |     127.1.8.208 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     125.716µs |     127.1.7.154 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     309.008µs |     127.1.7.154 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     146.571µs |     127.1.6.231 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     126.468µs |      127.1.6.68 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     102.723µs |     127.1.12.94 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |      83.756µs |      127.1.5.89 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |      179.33µs |     127.1.2.240 | GET      /mypage
[GIN] 2017/10/17 - 17:12:37 | 200 |     177.592µs |     127.1.1.218 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     260.747µs |      127.1.7.89 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     128.337µs |    127.1.14.174 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     258.218µs |     127.1.12.94 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     126.243µs |       127.1.3.4 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     114.154µs |     127.1.3.246 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     123.385µs |    127.1.10.119 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     113.919µs |     127.1.14.51 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     109.914µs |     127.1.0.196 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     107.755µs |    127.1.10.138 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     242.085µs |      127.1.6.68 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     222.814µs |      127.1.5.89 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |      106.56µs |     127.1.15.51 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |      65.063µs |      127.1.2.85 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |      79.249µs |     127.1.4.127 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     230.105µs |     127.1.6.231 | GET      /mypage
[GIN] 2017/10/17 - 17:12:37 | 302 |      82.247µs |     127.1.5.184 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     104.844µs |    127.1.15.172 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |      134.19µs |    127.1.13.151 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 302 |     118.314µs |     127.1.9.225 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     311.762µs |     127.1.15.51 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     179.337µs |    127.1.13.151 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 302 |     104.414µs |     127.1.4.242 | POST     /login
[GIN] 2017/10/17 - 17:12:37 | 200 |     239.152µs |      127.1.2.85 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     242.156µs |    127.1.15.172 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     335.213µs |     127.1.5.184 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     187.228µs |    127.1.10.138 | GET      /
[GIN] 2017/10/17 - 17:12:37 | 200 |     195.827µs |     127.1.0.196 | GET      /
